               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030297,             0.12442,           0.0016795,             0.84667,             0.89818,             0.91602,             0.60862,            0.026497,             0.10721,           0.0012893,            0.006535,            0.006535,            0.006535
                  37,            0.029045,              0.1251,           0.0015108,             0.86431,             0.90485,             0.91828,             0.58963,            0.028644,             0.10549,           0.0011247,            0.006436,            0.006436,            0.006436
                  38,            0.030229,             0.11779,           0.0017722,             0.88106,             0.86766,             0.91599,             0.60194,            0.026571,             0.11199,           0.0011024,            0.006337,            0.006337,            0.006337
                  39,            0.027942,             0.12418,           0.0015431,             0.87053,             0.90339,             0.92132,             0.58855,            0.026203,             0.10768,           0.0010396,            0.006238,            0.006238,            0.006238
                  40,            0.029295,              0.1271,           0.0016663,             0.86971,             0.90922,             0.90898,             0.59485,            0.025943,             0.10854,           0.0011162,            0.006139,            0.006139,            0.006139
                  41,            0.029002,             0.12069,           0.0014301,             0.86525,             0.89395,             0.91086,             0.59848,            0.026434,             0.10795,           0.0011662,             0.00604,             0.00604,             0.00604
                  42,            0.027707,             0.12636,           0.0015707,             0.85461,              0.8727,             0.90165,             0.57513,            0.028163,              0.1154,           0.0011227,            0.005941,            0.005941,            0.005941
                  43,            0.028404,             0.11825,           0.0014536,             0.85664,             0.88442,             0.90545,             0.57544,            0.027158,             0.11052,           0.0011015,            0.005842,            0.005842,            0.005842
                  44,            0.028292,             0.12341,           0.0013972,             0.85814,             0.86963,             0.89428,             0.58302,            0.027191,             0.12112,           0.0011966,            0.005743,            0.005743,            0.005743
                  45,            0.028563,             0.12182,           0.0013804,             0.81926,             0.89169,             0.89292,             0.57807,            0.026073,             0.11318,           0.0011699,            0.005644,            0.005644,            0.005644
                  46,            0.027908,             0.11594,           0.0013683,             0.85623,             0.85481,              0.8834,             0.57035,            0.027398,             0.11496,           0.0011713,            0.005545,            0.005545,            0.005545
